Produto,media_valor_vendido,media_peso_vendido,quantidade_vendas,quantidade_clientes,saldo_kg,preco_sugerido
10905,7508.04,258.04,17,8,358.959,27.4
11981,12238.95,616.84,73,49,559,29.3
1000,3043.71,31.26,22,15,1014.62064,72.04
5683,4337.38,72.59,14,12,1513.15,71.53
82649,11399.9,62.73,28,15,6.82312,43.16
8081,116688.3,6106.56,50,3,0,27.52
82751,2862.73,36.74,14,12,62.480213,69.19
9626,7637.23,734.44,34,17,2105,27.37
83745,5764.1,97.68,55,37,197.38064,588.59
11358,1923.96,827.19,16,9,452,41.93
11355,6473.61,438.4,30,13,858,41.93
9077,9514,565.2,5,3,0,28
650,2957.25,95.33,248,126,8122.737,63.69
83706,6349.7,188.01,10,9,290.15602,482.79
90125,7600,396.38,29,17,415,27.51
83556,10682.21,61.73,94,47,87.0422,61.17
474,540.34,8.47,34,20,141.5076,41.32
1777,5679.98,161.91,40,13,1897.506,38.41
11680,22910,725,1,1,0,53.62
11270,4291.35,148.4,10,9,50,45.57
9269,3471.01,300.55,50,35,590,26.71
3746,4025.37,21,13,10,1462.29408,124.1
12510,6532.92,194.02,174,104,81,41.32
11628,6872.4,120.22,1,1,0,391.63
3070,6553.9,123.85,20,15,253.014,48.8
3176,5752.54,226.46,91,62,4940.1588,52.55
83125,12877.7,191.33,19,19,0,1514.92
11776,10868.24,465.25,16,4,0,38.34
4843,3700.7,139.32,178,115,0,104.48
10206,11566.21,267.72,67,38,5890.248,94.97
89982,4758.31,142.68,25,19,2398.5,34.94
5127,3499.21,179.4,59,39,1230.801,114.38
1612,7394.47,231.07,20,14,220.77,135.64
14080,9789.36,147.04,26,13,44,66.52
11683,3732.6,53.77,1,1,0,81.4
10209,6869.64,140.29,31,24,0,75.52
10216,7034.88,209.24,20,13,3222.4608,155.76
83563,1662.07,36.98,37,22,1133.77588,93.35
4267,11262.92,50.05,15,12,426.786,79.4
90200,19609.75,272.12,26,15,1804,28.12
82633,10244,67.34,25,18,688.60684,38.9
11616,46427.5,2653,1,1,0,35.37
1610,3159.38,132.89,129,95,6722.5746,63.71
11424,2985.15,127.75,4,4,642,43.57
11633,8610,410,1,1,0,35.16
10091,2785.68,127.37,13,10,882.6696,46.34
8210,5586.48,645.96,20,10,1085.8,3.95
7179,20531.1,656.75,4,3,0,45.63
3743,2248.08,32.85,17,13,480.0138,210.97
9390,9614.27,267.73,64,41,433,46.66
3697,4324.19,97.64,14,10,1662.139248,158.63
7534,6478,117.13,18,1,8269.8,48.8
8827,1238.4,19.27,5,5,13.1382,29.66
10193,99099,6802.26,19,3,742,26.72
8991,12944.38,748.87,31,20,718,27.22
989,9244.85,387.95,102,67,1720,32.33
3930,3676.8,193.25,17,6,0,35.26
1658,2158.59,50.9,20,7,936.1548,36.31
1923,3896.34,86.21,92,68,1251.3456,63.41
786,3180.93,84.74,87,36,946.9944,60.33
10569,133054.78,1798.2,5,1,0,65.75
10727,298532.93,4812.67,3,1,7181,63.79
6326,3917.03,169.61,15,10,183,29.37
3081,16309.3,196.46,65,40,12272.0724,179.82
83737,10399.25,183.32,27,23,1294.52596,425.39
574,6312.24,141,39,12,4545,28.28
8188,16635.84,801.17,6,5,0,27.75
12160,16715.4,760.72,50,39,1917,27.12
10179,700.17,102.71,7,4,10.812,36.61
8174,4253.98,391.9,7,2,44.6064,75.52
5680,9549.32,137.63,12,11,621.45,71.53
82695,2515.62,40.56,40,27,49.28352,63.19
9856,11865.8,207.77,11,9,0,82.33
11741,45244.5,2154.5,2,1,0,36.16
11789,8969.3,349,1,1,0,36.29
11396,7370.46,287.73,15,9,6630,40.27
3793,20831.31,477.65,9,9,505.7484,2479.59
11748,33369.07,836.5,2,1,0,42.1
10048,5782.4,278,1,1,0,37.77
1299,2107.85,59.04,20,17,149.292,96.29
6217,4958.49,394.44,10,8,3738.372,79.26
9842,4772.78,234.05,17,14,0,104.99
1407,5143.44,232,1,1,0,42.77
4932,1149.1,231.23,30,19,3060.387,90.04
8776,2036.89,134.11,72,19,1085,26.16
8781,94211.82,4912.34,29,2,34793,28.31
12529,15670.84,452,2,1,0,54.32
83082,6524.81,138.05,44,34,3804.80928,766.35
2315,3248.61,159.36,38,27,12930.828,101.18
11726,2925,78,1,1,0,56.16
83122,11739.2,248.11,18,16,2755.57014,1091
11728,12619.49,676.33,3,2,0,26.65
10776,5535.05,240.5,4,3,0,28.19
11847,7528.35,282.61,9,8,142,26.73
9890,3623.14,160.29,11,9,0,61.06
1997,2079.92,46.74,8,4,70.49,52.93
787,3342.78,207.82,46,25,2409.3324,275.73
11710,9362.92,281,1,1,0,52.48
11416,10127.18,338.07,30,13,62,43.11
2174,1313.34,49.75,109,91,22.3,48.8
10656,4228.6,86.63,6,6,551.25,56.23
10594,193222.52,7401.5,2,2,0,26.61
11037,116890.66,3947.42,12,1,54890,26.73
6306,43715.12,881.32,93,67,0,41.32
11796,59460.2,2186.8,5,1,0,42.71
11743,33495,1595,1,1,0,36.16
4873,21645.96,756.19,3,3,1620.414,4533.63
11845,68544,1862.5,4,2,0,43.72
12078,2851,409.53,564,302,7154,43.83
7351,4257.53,208.55,460,258,4221,42.42
6140,3054.45,99.62,44,15,2684.45,46.3
83820,20776.23,192.68,6,3,1908.402,1468.1
14285,16042.96,332.03,30,19,6718,63.79
14410,21895.38,468.54,13,8,580,65.75
7650,2753.27,57.55,45,32,241.95,48.8
10671,2685.54,50.46,5,4,675.7,83.91
465,106590,994.17,8,6,0,2101.76
4977,4316.37,149.86,22,15,7595.5152,202.67
11827,10004.4,397,2,1,0,39.6
9194,57015.97,625,3,1,0,79.07
4894,909.06,85.61,24,18,771.6264,43.61
90005,3039.06,160.67,9,9,1751,30.53
10949,213904.05,4776.88,5,1,0,45.4
10737,4629.09,267.73,50,30,417.312,21.76
9108,2147.78,57.43,25,10,120.6864,14.09
11694,20480,1024,1,1,0,37.23
11107,116387.44,5108.57,14,2,16774,39.02
7552,2038.65,102.88,28,19,110.2,48.8
11717,132490.07,3269.33,3,3,117,52.08
6293,2128.7,114.05,26,15,336.024,39.69
4615,3651.72,165.91,11,9,58.4016,177.71
10935,40027.47,1965.32,13,1,24112,42.76
11000,1697.45,135.63,9,9,69.96,28.53
1221,3242.99,70.48,35,22,743.4504,134.2
10274,28551.5,1102.11,9,3,0,39.71
6049,356575.89,3993.43,14,3,12653,54.36
11753,17631,653,1,1,0,41.23
3619,31943.69,875.29,7,5,0,28.62
4997,3547.03,88.75,33,21,1242.0672,34.31
2228,1553.33,27.09,32,27,1208.85,62.93
9891,6252.6,92.65,32,19,4400.35,71.53
3305,12908.52,218.1,59,40,0,654.71
10753,27445.5,1973,2,2,0,25.89
1532,2431.42,95.66,13,7,310.8864,77.25
1945,1416.95,127.82,7,6,5.1,83.91
11590,8017.92,208.46,67,45,4729,53.67
83043,4779.91,92.41,21,13,3352.10768,1114.04
7345,3327.05,152.25,5,4,0,28.31
84010,25830,582.29,4,4,2296.599509,7183.87
11838,12148.5,578.5,2,1,0,45.93
5003,592.78,68.69,32,19,681.9024,42.36
11873,3050.8,29,1,1,0,61.26
4881,591.89,34.24,25,16,752.5434,15.3
11908,171966.98,2809,1,1,0,69.42
6382,15804,316.86,1,1,0,923.83
4210,413.34,21.21,10,7,150.4152,53.78
6809,954.27,42.68,19,10,467.232,9.85
82622,790.43,3.2,18,14,709.317,35.99
9921,63504,4327.11,9,2,4083,3.95
2428,15599.17,277.21,37,22,3592.26,48.59
2176,1401.49,112.91,18,9,1309.6,56.23
472,5256.07,108.99,31,19,279.9,48.8
11942,42100,2105,1,1,0,33.39
4679,44227.2,186.48,4,1,0,51.58
10334,178598.13,9903.18,11,1,13422,26.73
2018,4287.99,225.86,7,5,956,27.37
8406,30282.2,281.34,8,6,0,29.37
5130,2302.06,75.36,27,21,2979.552,85.99
947,1910.98,135.7,14,12,2075.35,80.45
484,580.52,85.69,107,92,0,48.8
1562,1123.2,23.7,1,1,0,127.9
1403,65194.38,943.62,16,12,1075.7724,150.85
11959,260796.9,8155,1,1,0,47.26
7407,37430,1970,1,1,0,27.12
4888,2184.53,72.12,25,18,866.88,23.38
6290,3445.16,88.13,35,25,3119.7,46.3
4882,617.83,45.55,40,19,940.7952,18.7
11950,26065.2,1498,1,1,0,33.72
3874,1483.48,31.76,4,3,0,104.98
6360,7862.03,220.32,22,10,1121.65,48.07
9551,3712.24,86,2,2,148,46.58
10449,76072.5,1791,4,1,0,36.75
12087,7291.2,224,1,1,0,56.43
82799,2903.42,36.66,11,8,354.3404,76.14
789,3841.45,126.28,29,25,1200.0366,160.66
12120,2233.35,105,1,1,0,34.2
10386,149460.51,5047.94,16,3,21595,31.13
11666,155832.44,5158.71,7,1,14354,26.73
4314,3847.66,72.48,4,3,1803.9392,645.37
7322,2688,65.97,1,1,0,78.5
12179,4120.05,121,1,1,0,53.51
10762,13547.52,588,1,1,0,26.54
12194,1567.5,16.5,1,1,0,101.91
6410,1739.21,25.5,2,2,61.05,48.07
83693,131372.24,1119.46,1,1,1446.063732,251.08
10690,8485.63,170.84,11,7,177.543,28.51
4380,81307.8,952.72,1,1,0,112.98
811,2192.13,178.72,14,14,8168.49,104.46
11407,17910.15,736.78,27,15,2198,38.76
12259,4403,238,1,1,0,33.05
11535,9119.5,459,2,2,0,42.39
12101,5799.54,163,1,1,0,48.41
1494,77477.46,902.09,3,1,0,447.16
2039,1034.4,15.12,4,2,0,163.29
12246,58741.08,1477.71,7,1,0,62.8
12135,7642.9,350.68,22,13,623,28.31
12118,44099,2321,1,1,0,31.83
12138,4307.31,129,1,1,0,33.39
9966,7940.8,433.4,10,8,14,65.04
8890,2175.55,72.5,2,2,72,42.15
12131,120501.9,3505,1,1,0,47.62
4037,367195.14,5414.75,4,1,18588,46.58
12258,30650,613,2,1,0,76.45
9935,3090.6,66.23,4,3,0,92.8
10128,145899.45,2409.75,16,2,9278,53.13
6149,2098.3,42.86,13,7,582.6744,144.4
5041,3654.3,67.33,17,8,18.168,85.72
7237,15299.5,827,1,1,0,150.9
9946,6984,388,1,1,0,38.84
625,3057.19,80.66,50,27,3111.0804,90.84
10331,27366.72,810.12,26,24,6022,52.08
6490,104,2,1,1,59.25,52.93
12284,45981.23,519.07,1,1,0,316620
7133,349556.47,9804.12,65,3,170251,42.42
10535,2209.99,86.11,7,5,1808.3934,186.08
9264,49922.88,770.86,7,6,426,59.67
12215,6444,165.85,2,1,165.852,39.13
10543,151729.73,5022.5,2,1,8706,28.5
9442,3567,58,1,1,0,106.44
5032,638.07,79.66,14,9,1672.7634,79.77
12372,10709.01,351,2,1,0,42.84
6527,6752.82,202.78,9,7,230,42.42
6849,36498.6,561.83,6,3,0,42.42
6439,12570,418.8,5,2,0,55.34
1285,5645.12,143.42,40,32,5829,45.33
12329,8424,405,1,1,0,29.27
5485,1773.89,41.92,17,16,1575.1512,148.14
5044,20457,448.41,19,16,1739.6262,216.7
12412,17782,873,2,1,0,26.71
7336,254166.68,5347.5,4,1,11040,44.68
12350,16520,826,1,1,0,35.14
12396,24906.6,1233,1,1,0,28.85
12421,3534,114,1,1,0,43.96
8551,15416,1296.67,3,3,0,29.3
12407,8886.37,299.71,7,5,0,41.91
8953,2487.84,90.57,1,1,0,153.32
3530,2241.88,138.28,24,20,2024.9136,199.65
10234,3276,175.5,2,2,0,27.12
12499,59947,1985,1,1,0,43.96
12562,357399,11346,2,1,0,41.32
11312,40740,5684,2,1,44472,51.06
400,960,110.39,81,39,9442.5336,50.09
9070,2630.92,137.04,87,64,51.55,47.59
12366,2000.25,70,2,2,0,47.71
2157,1799.6,29.55,1,1,0,68.08
12409,3357.2,155.5,2,1,0,31.13
9138,166930.58,5129.25,4,1,5111,30.59
11558,41067,3046.67,3,2,0,43.96
12456,2189.4,89,1,1,0,42.76
12502,13300,955,2,2,0,28
11095,713.94,24.4,1,1,49.604,34.24
7830,4233.27,211.12,66,48,9351.1,48.8
12516,2682.56,83,1,1,0,47.53
12469,3336,139,1,1,0,38.76
12496,7350,250,1,1,0,41.1
12567,312,15,1,1,0,28.99
12565,3325,95,1,1,0,51.03
12443,3690.55,155,1,1,0,38.76
7953,2739.37,139.75,4,2,0,97.53
12575,1753.7,38,2,1,0,65.36
1097,5924.13,170.4,362,129,11712.1596,33.14
5247,1135.04,41.69,220,126,4640.6,55.76
3125,2127.14,120.45,542,257,25947.945,20.66
8394,10647.16,773.29,214,100,942.5,27.12
4298,5892.8,199.12,148,63,2.65,34.61
2393,6492.42,150.81,640,306,17987.5308,86.07
7400,1361.06,81.26,81,48,3548.05,48.8
1587,2806,31.89,36,34,22.65,61.06
4891,2217.66,110.11,142,38,2670.7968,21.9
11354,20644.34,813.05,56,33,10131,41.15
4631,1685.25,16.81,44,31,339.948,10.07
7235,1216.78,37.93,71,48,1133.65,48.8
11362,15972.38,595.82,199,113,7597,39.02
10241,3509.98,92.74,70,53,0,12.37
9378,8163.77,209.48,25,13,167,66.52
1400,2374,64.8,404,241,5253.0576,21.5
7215,5571.19,145.92,197,135,12656.75,48.8
8201,11625.4,718.48,97,47,4204,27.52
11441,23256.73,780.5,20,12,2892,44.19
12206,15934.99,860.28,158,77,4903,26.71
3687,3132.02,116.47,44,30,5760.5928,27.52
2500,1401.08,36.46,104,57,894.6522,16.63
10664,1688.99,26.89,35,31,77.55,62.93
2883,19283.41,305.3,210,112,358.1718,473.8
1133,3240.14,138.61,508,244,17672.5626,42.36
5033,6066.32,203,42,28,2014.038,108.73
3392,3843.45,204.09,97,56,9225.95,32.42
7560,3999.55,79.81,105,67,1212.05,48.8
10880,5604.09,203.95,28,20,59,27.4
9886,2196.44,49.41,200,129,2105.819,61.06
1440,2441.65,58.59,108,51,954.7092,34.72
807,4411.28,113.43,371,201,1842.9624,47.4
11242,6989.88,229.48,29,24,0,43.79
7800,2342.49,47.69,64,43,1023.2,48.8
83085,10467.31,174.55,44,29,180.56676,1036.57
11861,12565.95,792.17,53,27,7890,27.75
2022,27714.56,898.02,129,67,369,30.04
8193,18967.95,1409.3,83,30,3672,29.73
82731,4448.97,117.82,19,13,360.72784,61.21
11935,6604.95,185.52,170,79,1606,44.58
9020,2317.56,76.93,241,144,4346.85,50.38
8787,115619.78,3931,5,1,40606,27.29
3371,2767.95,106.89,151,63,70.3,32.42
1099,8860.61,322.48,85,44,17279.85,34.61
12473,16509.18,487.59,402,250,12090,41.32
7881,12806.12,416.59,100,54,6374.676,56.06
11834,8691.97,395.75,65,35,340,29.75
522,5774.99,252.76,131,51,3621,30.35
1149,3058.15,146.32,144,107,1502.3718,131.58
903,3668.43,111.43,514,315,10850.5068,79.13
8769,154229.27,5633.94,16,2,468,26.64
2105,5497.02,127.35,165,99,17.9448,70.9
5095,8477.36,292.03,126,55,4100.2332,36.09
5107,2900.06,149.45,34,19,0,81.23
3369,1875.44,64.45,74,30,1230.2,37.59
1427,1177.8,57.12,76,32,1479.0384,18.28
8442,6207.73,198.27,77,34,638.9712,25.75
6098,3682.13,137.5,79,48,2202.8436,26.39
1845,2409.54,91.34,23,14,790.5612,26.06
740,2965.68,65.59,44,32,2085.579,79.98
6200,2914.54,170.78,63,43,0,46.3
8158,6438.75,217.07,92,41,135.8532,153.32
121,2380.84,70.13,77,40,2872.2888,55.57
83717,8971.44,78.61,43,35,0,437.69
9898,2710.95,53.8,12,8,3311.1,83.91
82623,3106.29,16.63,120,81,38.94426,30.3
82680,1636.12,58.29,77,47,1325.7708,60.17
10123,3316.3,142.23,87,42,1941.786,56.92
11607,10908,404,2,1,0,36.86
9283,1855.78,54.27,27,11,475.1376,17.97
8823,23858.77,1213.75,28,5,399,28.38
1272,2001.1,38.41,64,34,1376.388,14.97
2678,1569.45,35.68,44,19,522.144,10.99
10810,1545.13,105.13,38,19,27.65,27.4
459,14635.79,502.62,138,72,2750,27.99
6893,4497.75,167.84,111,67,27.8208,21.9
90025,10522.35,374.77,27,12,995.5,28.47
11850,13074.48,286.94,79,46,107,46.86
10790,2753.13,99.17,80,37,15519.5,27.4
10763,5377.87,264.5,39,12,28.35,27.4
10124,6478.26,283.32,107,45,1302.912,76.06
4297,2665.78,104.43,82,47,2552.65,34.61
155,9297.45,202.35,71,42,15888.522,158.85
1172,11703.79,302.24,112,89,2724,42.97
450,7921.21,376.14,160,71,37935.8808,39.19
7586,16623.16,277.75,52,28,1588,65.75
1650,2070.05,100.57,135,77,6325.0032,39.07
8024,2526.69,422.64,61,35,696,49.43
83765,13827.19,152.67,22,15,816.005607,934.36
7607,38363.24,551.85,141,70,2904,64.84
3380,5034.7,163.24,99,77,2343.042,213.12
1982,2607.68,84.27,91,53,6537.7872,13.22
2266,6356.2,124.64,84,40,1775.8944,32.91
11659,30278.67,871.08,26,18,364,28.5
8157,765.14,35.04,14,12,3034.056,123.03
3112,115948.01,4042.44,9,1,34788,34.42
9722,24311.47,607.82,11,6,0,44.73
5867,2910.91,131.08,147,65,712.15,32.42
147,1177.59,86.65,28,20,1402.44,99.57
1914,5541.63,169.63,205,110,5068,49.23
2221,8394.06,549.68,31,15,2760,26.73
762,22296.88,636.22,58,42,0,53.08
144,5841.35,145.11,85,52,0,131.69
3298,5606.68,291.74,24,17,578.652,535.84
2743,8275.76,204.25,214,140,7872.0192,673.06
827,4593.71,113.18,57,36,2454.27,99.57
10562,238989.83,7522.5,2,1,0,27.22
11638,4753,175,2,1,0,30.35
1823,1296.82,58,4,2,0,27.37
1878,2221.46,17.99,17,10,776.0607,87.02
2293,5394.26,121.9,137,102,23840.6868,150.2
82790,5120.88,46.15,26,11,48.06312,83.49
2463,15655.5,292.8,15,13,159,42.97
4324,2267.6,16.36,66,33,577.563,42.31
9559,19708.75,456.9,42,18,1855.5,30.35
2600,5161.11,98.79,64,47,1149.5232,216.23
89980,3737.36,128.9,10,6,831,30.53
8777,7630.3,785.97,59,34,803,26.16
3182,2154.06,80.31,80,47,1450.5888,32.31
1653,3742.27,162.91,175,108,27.642,26.08
3512,2188.14,69.92,164,65,3243.0144,8.45
14373,17080.59,427.86,42,30,39,63.79
11060,17032.63,474.99,12,6,170.442,34.24
3775,15110.6,1301.84,12,11,3300.435,2157.51
7570,29900.37,615.98,113,65,62,64.02
949,5799.19,300.36,95,62,4360,32.33
4419,10348.74,147.62,8,7,0,237.41
5043,5886.83,298.92,41,32,7179.321,145.96
5025,2039.2,118.17,13,4,876.5064,44.51
82912,6395.53,108.02,33,28,455.8752,230.01
11374,21410.15,689.65,55,38,7939,39.8
3167,1442.96,73.79,18,16,1907.8416,12.78
9400,9351,282.75,13,9,505.0068,56.06
1074,1015.07,19.16,94,45,828.3564,39.1
11639,16927.75,595,1,1,0,42.75
11642,18341.6,811.5,6,3,1569,41.92
4720,3138.31,96.98,14,13,0,42.86
5966,6008,182.32,10,7,0,72.16
6352,4214.4,132.1,11,8,0,85.14
5706,3559.5,99.63,5,4,0,117.33
1534,3974.82,112.63,54,45,1986,42.97
11779,3013,115,1,1,0,25.59
1639,345721.52,7569.63,16,3,374,30.04
10215,8660.32,157.66,10,7,2670.8832,129.09
894,12513.77,57.08,34,27,0,108.93
3640,6027.77,486.46,55,41,18666.45,640.19
8983,6062.91,182.96,25,17,259,26.71
83117,27785.92,353.06,29,26,49.46182,567.87
536,4748.19,65.78,125,61,5.406,83.51
8340,20799.77,1486.04,47,11,3431,27.52
120,3820.91,81.17,18,14,570.024,46.52
11654,16057.08,468,1,1,0,52.08
4521,75977.48,3581.43,7,1,15889,28.12
83627,1916.02,31.12,15,11,480.20688,154.22
7520,1427.31,59.64,188,125,4260.804,48.8
11632,9135,435,1,1,0,35.16
2220,3420.9,123.3,10,4,516,26.73
11106,272351.46,7247.9,23,2,16501.2,39.02
652,3273.43,75.11,87,28,1791.2016,39.26
11615,14245.44,568,1,1,0,46.4
83529,3096.31,20.61,47,37,239.39904,47.41
999,1732.85,43.11,30,22,871.65,76.37
9843,3337.32,970.9,26,19,7012.05,272.58
9894,5944.72,196.94,36,17,4156.3,71.53
11611,0.35,17.83,4,4,0,49.81
2422,5073.95,61.12,9,7,26.8,80.45
6500,5608.56,96.46,50,43,124,52.93
9271,23069.16,2173.98,113,52,8144.5,26.71
3760,71694.65,1333.12,13,10,5531.013,3615.65
534,3474.59,49.02,40,24,877.2816,61.21
10328,71604,2248.3,7,3,0,18.83
330,1753.2,44.89,39,23,2238.8544,29.99
6526,6982.6,151.5,6,5,0,42.42
83666,8483.83,72.21,40,22,3728.5014,226.32
1578,6663.3,100.46,24,15,405.45,38.41
10584,33960,1914.38,8,3,0,31.37
10564,200384.41,4011.2,5,1,0,47.71
11599,6240,300,1,1,0,37.77
8772,168259.97,5647.17,18,3,9260,26.43
4413,3042.07,56.4,46,32,1604.608896,99.9
6151,2495.44,157.59,107,62,8698.4,32
10325,50119.3,1571.25,4,1,0,30.35
5088,3638.23,152.94,49,31,1363.8006,22.19
7765,12379.24,165.35,57,45,1058.4,48.8
14100,4592.94,154.11,38,26,387,65.75
11592,1147.53,29,2,1,0,60.63
11829,2977.07,191.3,27,17,1677,27.75
84180,6006.51,143.01,1,1,4.2213105,1268.4
8332,21200.91,928.68,248,104,6475,30.04
1229,3298,183.03,5,4,0,100.75
4670,3419.39,89.29,31,24,1448.361,391.79
11727,8990.81,102.1,1,1,0,1089.48
3390,1722.69,73.32,60,31,1900.05,32.42
7472,8351.8,570.3,40,20,1729,29.37
128,1628.87,86.66,19,13,915.6654,59.64
11742,31815,1515,1,1,0,36.16
3400,22414.9,581.59,71,50,4366.46,41.32
1107,13614.17,639.68,128,67,2164,29.28
11709,1.93,4.2,1,1,0,52.48
11722,17785.56,338,1,1,0,76.73
11034,103293.69,2941,7,1,0,30.42
10557,3157.61,102.44,16,6,4510,25.66
1353,116262.49,4354.38,21,2,87040,32.33
3031,6836.6,272.71,32,22,14091.83,32
3744,15397.13,45.06,24,17,33.9126,46.69
4981,1266.66,116.15,15,11,1592.067,145.91
11473,69882.78,2508.67,3,1,0,49.72
11807,25944.42,766,1,1,0,57.52
11708,2022.6,12.67,1,1,0,67.42
11795,288495.76,13307,1,1,0,26.54
8692,7398.42,188.78,14,8,0,84.09
7892,1061.4,7.78,3,2,0,141.73
11819,15655,505,1,1,0,52.48
11843,103414.4,1862.5,2,1,0,43.11
4088,17671.67,846.88,8,6,950,32.33
11828,26722.5,1272.5,2,1,0,36.16
11718,0.53,7.67,6,6,0,49.83
